GitHub-Issue,PR,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario,ID
joblib/joblib#105,False,PF8,PS1,False,3,PS1-1
joblib/joblib#106,True,PF8,PS1,False,3,PS1-1
scikit-learn/scikit-learn#1565,False,PF8,PS1,False,3,PS1-1
scikit-learn/scikit-learn#2756,True,PF8,PS1,False,3,PS1-1
numpy/numpy#4709,False,PF4,PS1,True,12,PS1-2
numpy/numpy#4711,True,PF4,PS1,True,12,PS1-2
astropy/astropy#2483,False,PF4,PS1,True,12,PS1-2
astropy/astropy#2927,True,PF4,PS1,True,12,PS1-2
numpy/numpy#4655,False,PF6,PS1,False,22,PS1-3
numpy/numpy#4656,True,PF6,PS1,False,22,PS1-3
scipy/scipy#3596,False,PF6,PS1,False,22,PS1-3
scipy/scipy#3647,True,PF6,PS1,False,22,PS1-3
numpy/numpy#6120,False,PF6,PS1,False,26,PS1-4
numpy/numpy#6126,True,PF6,PS1,False,26,PS1-4
scipy/scipy#5173,False,PF6,PS1,False,26,PS1-4
scipy/scipy#5387,True,PF6,PS1,False,26,PS1-4
codemirror/codemirror5#3009,False,PF2,PS1,False,11,PS1-5
ipython/ipython#7395,False,PF2,PS1,False,11,PS1-5
ipython/ipython#7414,True,PF2,PS1,False,11,PS1-5
numpy/numpy#2735,False,PF4,PS1,True,49,PS1-6
numpy/numpy#3162,True,PF4,PS1,True,49,PS1-6
scikit-learn/scikit-learn#1406,False,PF4,PS1,True,49,PS1-6
scikit-learn/scikit-learn#1458,True,PF4,PS1,True,49,PS1-6
python-pillow/Pillow#350,False,PF4,PS1,True,60,PS1-7
python-pillow/Pillow#2058,True,PF4,PS1,True,60,PS1-7
scipy/scipy#2138,False,PF4,PS1,True,60,PS1-7
scipy/scipy#5289,True,PF4,PS1,True,60,PS1-7
numpy/numpy#2410,False,PF6,PS1,False,65,PS1-8
numpy/numpy#5982,True,PF6,PS1,False,65,PS1-8
astropy/astropy#3854,False,PF6,PS1,False,65,PS1-8
astropy/astropy#4228,True,PF6,PS1,False,65,PS1-8
codemirror/codemirror5#2410,False,PF6,PS1,False,69,PS1-9
ipython/ipython#5135,False,PF6,PS1,False,69,PS1-9
ipython/ipython#5479,True,PF6,PS1,False,69,PS1-9
numpy/numpy#2655,False,PF6,PS1,False,61,PS1-10
scipy/scipy#3330,False,PF6,PS1,False,61,PS1-10
scipy/scipy#3408,True,PF6,PS1,False,61,PS1-10
scikit-learn/scikit-learn#2663,False,PF8,PS1,False,75,PS1-11
