Username,Issue,PR-author,BugReport-author,Commented,Reviewer,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario
bthirion,joblib/joblib#105,False,True,True,False,PF8,PS1,False,3
ogrisel,joblib/joblib#105,False,False,True,False,PF8,PS1,False,3
GaelVaroquaux,joblib/joblib#105,False,False,True,False,PF8,PS1,False,3
ogrisel,joblib/joblib#106,True,False,True,False,PF8,PS1,False,3
GaelVaroquaux,joblib/joblib#106,False,False,True,False,PF8,PS1,False,3
amueller,scikit-learn/scikit-learn#1565,False,True,True,False,PF8,PS1,False,3
aboSamoor,scikit-learn/scikit-learn#1565,False,False,True,False,PF8,PS1,False,3
kyleabeauchamp,scikit-learn/scikit-learn#1565,False,False,True,False,PF8,PS1,False,3
viveksck,scikit-learn/scikit-learn#1565,False,False,True,False,PF8,PS1,False,3
ogrisel,scikit-learn/scikit-learn#1565,False,False,True,False,PF8,PS1,False,3
dan-blanchard,scikit-learn/scikit-learn#1565,False,False,True,False,PF8,PS1,False,3
ogrisel,scikit-learn/scikit-learn#2756,True,False,False,False,PF8,PS1,False,3
mdboom,numpy/numpy#4709,False,True,True,False,PF4,PS1,True,12
njsmith,numpy/numpy#4709,False,False,True,False,PF4,PS1,True,12
pv,numpy/numpy#4709,False,False,True,False,PF4,PS1,True,12
seberg,numpy/numpy#4709,False,False,True,False,PF4,PS1,True,12
abalkin,numpy/numpy#4709,False,False,True,False,PF4,PS1,True,12
mattip,numpy/numpy#4709,False,False,True,False,PF4,PS1,True,12
pv,numpy/numpy#4711,True,False,False,False,PF4,PS1,True,12
juliantaylor,numpy/numpy#4711,False,False,True,False,PF4,PS1,True,12
seberg,numpy/numpy#4711,False,False,True,False,PF4,PS1,True,12
astrofrog,astropy/astropy#2483,False,True,True,False,PF4,PS1,True,12
mdboom,astropy/astropy#2483,False,False,True,False,PF4,PS1,True,12
pv,astropy/astropy#2483,False,False,True,False,PF4,PS1,True,12
eteq,astropy/astropy#2483,False,False,True,False,PF4,PS1,True,12
mhvk,astropy/astropy#2483,False,False,True,False,PF4,PS1,True,12
mwcraig,astropy/astropy#2483,False,False,True,False,PF4,PS1,True,12
mhvk,astropy/astropy#2927,True,False,True,False,PF4,PS1,True,12
astrofrog,astropy/astropy#2927,False,False,True,False,PF4,PS1,True,12
foogod,numpy/numpy#4655,False,True,False,False,PF6,PS1,False,22
juliantaylor,numpy/numpy#4655,False,False,True,False,PF6,PS1,False,22
foogod,numpy/numpy#4656,True,False,True,False,PF6,PS1,False,22
charris,numpy/numpy#4656,False,False,True,False,PF6,PS1,False,22
juliantaylor,numpy/numpy#4656,False,False,True,False,PF6,PS1,False,22
njsmith,numpy/numpy#4656,False,False,True,False,PF6,PS1,False,22
seberg,numpy/numpy#4656,False,False,True,False,PF6,PS1,False,22
foogod,scipy/scipy#3596,False,True,True,False,PF6,PS1,False,22
rgommers,scipy/scipy#3596,False,False,True,False,PF6,PS1,False,22
endolith,scipy/scipy#3596,False,False,True,False,PF6,PS1,False,22
foogod,scipy/scipy#3647,True,False,True,False,PF6,PS1,False,22
endolith,scipy/scipy#3647,False,False,True,False,PF6,PS1,False,22
pv,scipy/scipy#3647,False,False,True,False,PF6,PS1,False,22
