username,project,scenario,max_inv
Cadair,astropy/astropy,33,2
Carreau,ipython/ipython,16,2
CompPhysChris,ContinuumIO/anaconda-issues,59,2
DonBeo,scikit-learn/scikit-learn,9,2
GaelVaroquaux,joblib/joblib,19,2
GaelVaroquaux,numpy/numpy,49,2
GaelVaroquaux,scikit-learn/scikit-learn,49,2
GaelVaroquaux,scikit-learn/scikit-learn,80,2
MSeifert04,astropy/astropy,132,3
MSeifert04,numpy/numpy,132,2
MrBago,nipy/dipy,72,2
NeilGirdhar,numpy/numpy,7,2
NicolasTr,scikit-learn/scikit-learn,80,3
NicolasTr,scipy/scipy,80,2
SMeo,ContinuumIO/anaconda-issues,59,2
Steffi3rd,codemirror/codemirror5,16,2
Tokin256,ContinuumIO/anaconda-issues,59,2
TomDLT,scikit-learn/scikit-learn,19,2
Try2Code,Try2Code/cdo-bindings,84,2
Vital-Fernandez,numpy/numpy,132,2
WarrenWeckesser,scipy/scipy,47,3
WarrenWeckesser,scipy/scipy,60,3
WarrenWeckesser,scipy/scipy,72,2
WarrenWeckesser,scipy/scipy,80,2
WeatherGod,matplotlib/matplotlib,4,2
WeatherGod,scipy/scipy,84,2
abalkin,numpy/numpy,12,2
aclark4life,python-pillow/Pillow,60,2
agamemnonc,ContinuumIO/anaconda-issues,59,2
agramfort,scikit-learn/scikit-learn,9,2
agramfort,scikit-learn/scikit-learn,77,2
ahaldane,numpy/numpy,70,2
ahjulstad,numpy/numpy,20,3
ahjulstad,scipy/scipy,20,3
ai-bites,ContinuumIO/anaconda-issues,59,2
amueller,scikit-learn/scikit-learn,9,2
amueller,scikit-learn/scikit-learn,19,2
amueller,scikit-learn/scikit-learn,49,2
amueller,scikit-learn/scikit-learn,77,3
andreas-h,scipy/scipy,84,2
andrevitorelli,astropy/astropy,33,2
andyljones,ContinuumIO/anaconda-issues,59,2
angelnaviavazquez,scipy/scipy,59,2
argriffing,pypa/pip,20,2
argriffing,scipy/scipy,20,2
argriffing,scipy/scipy,72,3
arokem,nipy/dipy,72,3
astrofrog,astropy/astropy,12,2
astrofrog,astropy/astropy,33,3
bamboocza,ContinuumIO/anaconda-issues,59,2
cairijun,scipy/scipy,81,3
ccazabon,python-pillow/Pillow,47,2
cdboschen,scipy/scipy,59,2
cdeil,astropy/astropy,33,2
cgohlke,python-pillow/Pillow,60,2
charris,numpy/numpy,7,2
charris,numpy/numpy,20,2
charris,numpy/numpy,21,2
charris,scipy/scipy,21,2
charris,numpy/numpy,49,2
charris,scipy/scipy,60,2
charris,numpy/numpy,61,3
charris,numpy/numpy,70,2
cpaulik,TUW-GEO/pytesmo,85,3
davidbrough1,materialsinnovation/pymks,77,3
davidbrough1,scikit-learn/scikit-learn,77,2
dopplershift,matplotlib/matplotlib,4,2
dpantele,scipy/scipy,60,2
dpvc,mathjax/MathJax,56,2
dsmall,codemirror/codemirror5,16,2
dstufft,pypa/pip,20,2
efiring,matplotlib/matplotlib,4,2
efiring,wesleybowman/UTide,59,2
elehcim,pandas-dev/pandas,33,2
embray,astropy/astropy,4,2
embray,astropy/astropy,7,3
embray,numpy/numpy,7,3
embray,astropy/astropy,33,2
embray,pandas-dev/pandas,33,2
embray,astropy/astropy,42,2
embray,GalSim-developers/GalSim,48,2
