username,project,scenario,max_inv
Carreau,ipython/ipython,1,2
Carreau,ipython/pickleshare,1,2
Carreau,ipython/ipython,11,3
EricDepagne,astropy/astropy,55,2
EricDepagne,astropy/astroquery,55,3
FRidh,NixOS/nixpkgs,78,3
GaelVaroquaux,joblib/joblib,3,2
GaelVaroquaux,scikit-learn/scikit-learn,8,2
GaelVaroquaux,joblib/joblib,27,2
GaelVaroquaux,scikit-learn/scikit-learn,27,2
GaelVaroquaux,joblib/joblib,54,2
GaelVaroquaux,joblib/joblib,57,2
GaelVaroquaux,scikit-learn/scikit-learn,76,2
GaelVaroquaux,scikit-learn/scikit-learn,78,2
Gaszc,ipython/pickleshare,1,2
JohnLonginotto,numpy/numpy,2,2
LeeKamentsky,CellProfiler/CellProfiler,79,2
LeeKamentsky,scipy/scipy,79,2
Peque,ipython/pickleshare,1,3
Shotgunosine,ipython/ipython,50,2
TomDLT,scikit-learn/scikit-learn,78,2
TomasTomecek,scipy/scipy,52,2
aabadie,joblib/joblib,57,3
abhirk,scikit-learn/scikit-learn,57,2
aboSamoor,scikit-learn/scikit-learn,3,2
agramfort,scikit-learn/scikit-learn,27,2
agramfort,mne-tools/mne-python,75,2
agramfort,scikit-learn/scikit-learn,75,3
agramfort,mne-tools/mne-python,76,2
agramfort,scikit-learn/scikit-learn,76,3
agramfort,scikit-learn/scikit-learn,78,2
ahaefner,ipython/ipython,50,2
ahaldane,numpy/numpy,2,3
ahaldane,numpy/numpy,46,3
ahaldane,astropy/astropy,65,2
ahaldane,numpy/numpy,70,2
amueller,scikit-learn/scikit-learn,3,2
amueller,scikit-learn/scikit-learn,8,2
amueller,scikit-learn/scikit-learn,25,2
amueller,sphinx-doc/sphinx,25,2
amueller,scikit-learn/scikit-learn,78,3
andaag,ipython/ipython,50,2
argriffing,scipy/scipy,37,2
argriffing,scipy/scipy,62,2
arjoly,scikit-learn/scikit-learn,13,2
arjoly,scikit-learn/scikit-learn,57,2
arjoly,scikit-learn/scikit-learn,78,2
astrofrog,astropy/astropy,5,2
astrofrog,astropy/astropy,6,2
astrofrog,numpy/numpy,6,2
astrofrog,astropy/astropy,10,2
astrofrog,numpy/numpy,26,3
astrofrog,astropy/astropy,35,2
astrofrog,astropy/astropy,51,2
astrofrog,numpy/numpy,51,2
astrofrog,astropy/astropy,53,2
astrofrog,astropy/astropy,55,2
astrofrog,astropy/astropy,64,2
astrofrog,astropy/astropy,65,2
astrofrog,astropy/astropy,71,3
astrofrog,astropy/astropy,74,2
batterseapower,scipy/scipy,79,3
bdholt1,joblib/joblib,27,2
beckermr,numpy/numpy,2,2
birkenfeld,sphinx-doc/sphinx,25,2
bjornfor,NixOS/nixpkgs,78,2
braymp,CellProfiler/CellProfiler,79,2
bretter,scipy/scipy,13,2
bsipocz,astropy/astropy,35,2
bthirion,joblib/joblib,3,2
cdeil,ipython/pickleshare,1,2
cgohlke,numpy/numpy,24,3
cgohlke,scipy/scipy,24,3
cgohlke,numpy/numpy,52,2
charris,numpy/numpy,2,2
charris,scipy/scipy,2,2
charris,numpy/numpy,5,2
charris,astropy/astropy,10,2
charris,numpy/numpy,10,2
charris,numpy/numpy,22,2
charris,numpy/numpy,24,2
charris,numpy/numpy,26,2
charris,numpy/numpy,35,2
charris,numpy/numpy,37,2
charris,scipy/scipy,37,2
charris,numpy/numpy,46,2
charris,numpy/numpy,51,2
charris,numpy/numpy,52,2
charris,numpy/numpy,53,2
charris,numpy/numpy,62,2
charris,astropy/astropy,65,2
charris,numpy/numpy,65,2
charris,numpy/numpy,70,2
charris,numpy/numpy,71,2
charris,numpy/numpy,74,2
chrisidefix,ipython/ipython,1,2
chrisidefix,ipython/pickleshare,1,2
christianbrodbeck,sphinx-doc/sphinx,25,2
cournape,scikit-learn/scikit-learn,8,2
cournape,numpy/numpy,37,2
cournape,scipy/scipy,37,2
damianavila,ipython/ipython,11,2
dan-blanchard,scikit-learn/scikit-learn,3,2
danielsf,numpy/numpy,2,2
dengemann,mne-tools/mne-python,75,2
dengemann,scikit-learn/scikit-learn,75,2
dengemann,mne-tools/mne-python,76,2
dkirkby,numpy/numpy,2,2
domenkozar,NixOS/nixpkgs,78,2
dpvc,mathjax/MathJax,56,2
ellisonbg,ipython/ipython,11,2
ellisonbg,ipython/ipython,50,2
ellisonbg,ipython/ipython,69,2
embray,astropy/astropy,2,2
embray,numpy/numpy,2,2
embray,astropy/astropy,5,2
embray,numpy/numpy,5,3
embray,astropy/astropy,10,2
embray,astropy/astropy,15,2
embray,astropy/astropy-helpers,15,3
embray,astropy/astropy,35,2
embray,astropy/astropy,51,2
embray,astropy/astropy,53,2
embray,numpy/numpy,53,3
embray,astropy/astropy,55,2
embray,astropy/astropy,64,2
embray,astropy/astropy,65,3
embray,numpy/numpy,65,3
embray,astropy/astropy,70,2
embray,numpy/numpy,70,2
endolith,scipy/scipy,22,2
erccarls,ipython/ipython,50,2
eric-wieser,numpy/numpy,70,2
esheldon,astropy/astropy,2,2
esheldon,numpy/numpy,2,2
eteq,astropy/astropy,46,2
eteq,astropy/astropy,55,2
eteq,ipython/ipython,56,2
eteq,mathjax/MathJax,56,2
eteq,astropy/astropy,64,3
eteq,liberfa/erfa,64,2
eteq,astropy/astropy,71,2
ev-br,scipy/scipy,61,2
ev-br,scipy/scipy,62,2
ev-br,scipy/scipy,83,2
foogod,numpy/numpy,22,3
foogod,scipy/scipy,22,3
garbas,NixOS/nixpkgs,78,2
glouppe,joblib/joblib,27,2
haroldn,scikit-learn/scikit-learn,13,2
jaimefrio,numpy/numpy,26,2
jaimefrio,numpy/numpy,62,3
jaimefrio,scipy/scipy,62,2
jamescasbon,ipython/ipython,50,2
jdfreder,codemirror/codemirror5,69,2
jdfreder,ipython/ipython,69,3
jjstickel,ipython/pickleshare,1,2
jmetzen,scikit-learn/scikit-learn,78,2
jnothman,scipy/scipy,61,2
jnothman,scikit-learn/scikit-learn,75,2
josePhoenix,astropy/astropy,15,2
josef-pkt,numpy/numpy,62,2
josef-pkt,scipy/scipy,62,2
josef-pkt,scipy/scipy,83,2
josef-pkt,statsmodels/statsmodels,83,2
jschueller,sphinx-doc/sphinx,25,2
jseabold,statsmodels/statsmodels,83,2
juhasch,ipython/ipython,11,2
juliantaylor,numpy/numpy,2,2
juliantaylor,astropy/astropy,10,2
juliantaylor,numpy/numpy,10,3
juliantaylor,scikit-learn/scikit-learn,13,2
juliantaylor,scipy/scipy,13,2
juliantaylor,numpy/numpy,22,2
juliantaylor,numpy/numpy,37,3
juliantaylor,scipy/scipy,37,2
juliantaylor,numpy/numpy,52,3
juliantaylor,scipy/scipy,52,2
juliantaylor,numpy/numpy,53,2
juliantaylor,astropy/astropy,74,2
juliantaylor,numpy/numpy,74,3
keflavich,astropy/astropy,55,2
keflavich,astropy/astroquery,55,2
khadiwala,ipython/ipython,50,2
klaussfreire,zeromq/pyzmq,50,2
kw-moeller,joblib/joblib,54,2
kyleabeauchamp,scikit-learn/scikit-learn,3,2
larsmans,scikit-learn/scikit-learn,8,2
larsmans,scikit-learn/scikit-learn,27,2
larsmans,scikit-learn/scikit-learn,76,2
larsoner,sphinx-doc/sphinx,25,3
larsoner,mne-tools/mne-python,76,2
lesteve,joblib/joblib,54,2
lesteve,joblib/joblib,57,2
lsaffre,sphinx-doc/sphinx,25,2
marijnh,codemirror/codemirror5,11,3
marijnh,codemirror/codemirror5,69,3
marisawallace,scikit-learn/scikit-learn,8,2
mathieu1,ipython/ipython,11,2
matthew-brett,numpy/numpy,37,2
matthew-brett,scipy/scipy,52,2
matthew-brett,scipy/scipy,79,2
mbillingr,mne-tools/mne-python,76,2
mblondel,joblib/joblib,57,2
mboquien,astropy/astropy,55,2
mdboom,astropy/astropy,6,2
mdboom,numpy/numpy,6,3
mdboom,astropy/astropy,74,2
mfrodl,joblib/joblib,54,3
mhvk,astropy/astropy,2,2
mhvk,numpy/numpy,2,2
mhvk,astropy/astropy,35,2
mhvk,numpy/numpy,35,3
mhvk,astropy/astropy,46,2
mhvk,numpy/numpy,46,2
mhvk,astropy/astropy,51,2
mhvk,astropy/astropy,65,2
mhvk,numpy/numpy,65,2
mhvk,astropy/astropy,70,2
mhvk,numpy/numpy,70,3
mhvk,astropy/astropy,71,2
mhvk,numpy/numpy,71,3
michaelaye,astropy/astropy,2,2
minrk,ipython/pickleshare,1,2
minrk,ipython/ipython,50,2
minrk,zeromq/pyzmq,50,3
miohtama,zeromq/pyzmq,50,2
nayyarv,numpy/numpy,26,2
nicbou,codemirror/codemirror5,69,2
nikolas,ipython/pickleshare,1,2
njsmith,numpy/numpy,6,2
njsmith,numpy/numpy,22,2
njsmith,numpy/numpy,35,2
njsmith,numpy/numpy,37,2
njsmith,numpy/numpy,46,2
njsmith,numpy/numpy,52,2
ogrisel,joblib/joblib,3,3
ogrisel,scikit-learn/scikit-learn,3,3
ogrisel,scikit-learn/scikit-learn,8,3
ogrisel,scipy/scipy,8,3
ogrisel,joblib/joblib,27,3
ogrisel,scikit-learn/scikit-learn,27,2
ogrisel,joblib/joblib,57,2
ogrisel,scikit-learn/scikit-learn,57,2
ogrisel,scikit-learn/scikit-learn,75,2
pkra,ipython/ipython,56,2
pkra,mathjax/MathJax,56,2
pllim,astropy/astropy,51,2
pprett,scikit-learn/scikit-learn,54,2
pv,scipy/scipy,13,2
pv,scipy/scipy,22,2
pv,scipy/scipy,24,2
pv,numpy/numpy,37,2
pv,scipy/scipy,37,3
pv,scipy/scipy,52,2
pv,scipy/scipy,61,3
pv,scipy/scipy,79,2
rainwoodman,zeromq/pyzmq,50,2
rgommers,scipy/scipy,2,2
rgommers,scipy/scipy,13,2
rgommers,scipy/scipy,22,2
rgommers,scipy/scipy,24,2
rgommers,numpy/numpy,26,2
rgommers,scipy/scipy,26,3
rgommers,numpy/numpy,35,2
rgommers,numpy/numpy,37,2
rgommers,scipy/scipy,37,2
rgommers,scipy/scipy,52,2
rgommers,scipy/scipy,61,2
rgommers,scipy/scipy,79,2
rgommers,scipy/scipy,83,3
rheber,codemirror/codemirror5,11,2
ricklupton,ipython/ipython,50,2
saimn,numpy/numpy,65,2
samwhitehall,ipython/ipython,69,2
scottransom,liberfa/erfa,64,2
seberg,numpy/numpy,2,2
seberg,numpy/numpy,10,2
seberg,numpy/numpy,22,2
seberg,numpy/numpy,46,2
seberg,numpy/numpy,65,2
seberg,numpy/numpy,70,2
